URL,Name,Description,Duration,Price,Technology
https://ru.hexlet.io//courses/python-setup-environment,Курс Python: Настройка окружения - онлайн обучение программированию на Python на Хекслете,"Python: Настройка окружения: 18 уроков - 16 тестов | В этом курсе вы изучите настройку окружения. Вы познакомитесь с концепцией виртуальных окружений, со стандартным пакетным менеджером pip и альтернативным менеджером Poetry. В ит...",6 часов,3900 ₽,['Python']
https://ru.hexlet.io//courses/python-basics,Курс Основы Python - онлайн обучение программированию на Python на Хекслете,"Основы Python: 45 уроков - 44 теста - 43 упражнения | Курс «Введение в программирование на языке Python» для начинающих. Освойте основы программирования на питоне с нуля: создавать программ, использование конструкций языка (условия, циклы, функции и другие)",57 часов,3900 ₽,['Python']
https://ru.hexlet.io//courses/python-lists,Курс Python: Списки - онлайн обучение программированию на Python на Хекслете,"Python: Списки: 10 уроков - 8 тестов - 8 упражнений | На этом курсе вы изучите структуру данных список. Вы узнаете больше о срезах, итераторах и ленивых вычислениях. В итоге вы научитесь манипулировать данными с помощью списков и р...",12 часов,3900 ₽,['Python']
https://ru.hexlet.io//courses/python-flask,Курс Python: Веб-разработка (Flask) - онлайн обучение программированию на Python на Хекслете,"Python: Веб-разработка (Flask): 25 уроков - 23 теста - 14 упражнений | На этом курсе вы изучите основы веб-разработки на примере микрофреймворка Flask. Вы узнаете, как обрабатывать запросы и формировать ответ, как работать с куки и сессиями, что та...",22 часа,3900 ₽,"['Python', 'Веб-разработка']"
https://ru.hexlet.io//courses/python-oop-basics,Курс Python: Введение в ООП - онлайн обучение программированию на Python на Хекслете,"Python: Введение в ООП: 11 уроков - 9 тестов - 8 упражнений | Курс «Объектно-ориентированное программирование на Python» для начинающих. Изучайте основы объектно-ориентированного программирования на питоне с нуля: объекты, методы, наследование",12 часов,3900 ₽,['Python']
https://ru.hexlet.io//courses/python-django-basics,Курс Python: Разработка на фреймворке Django - онлайн обучение программированию на Python на Хекслете,"Python: Разработка на фреймворке Django: 19 уроков - 16 тестов - 15 упражнений | Знакомство с фреймворком Django - курс для начинающих Python разработчиков. Онлайн обучение Django Python: разработка сайтов, конфигурация фреймворка, использование шаблонов",21 час,3900 ₽,"['Python', 'Веб-разработка']"
https://ru.hexlet.io//courses/python-testing,Курс Python: Автоматическое тестирование - онлайн обучение программированию на Python на Хекслете,"Python: Автоматическое тестирование: 12 уроков - 10 тестов - 9 упражнений | На этом курсе вы познакомитесь с принципами и инструментами автоматического тестирования в Python. Вы научитесь писать автоматизированные тесты, измерять покрытие тестами и наст...",13 часов,3900 ₽,"['Python', 'Тестирование']"
https://ru.hexlet.io//courses/python-django-orm,Курс Python: Django ORM - онлайн обучение программированию на Python на Хекслете,"Python: Django ORM: 11 уроков - 9 тестов - 8 упражнений | На этом курсе вы изучите Django ORM – основной способ работы с данными в Django. Вы узнаете больше о моделях и их отображениях на базу данных, о миграциях и построении запросов....",12 часов,3900 ₽,['Python']
https://ru.hexlet.io//courses/python-pandas,Курс Python: Pandas - онлайн обучение программированию на Python на Хекслете,"Python: Pandas: 11 уроков - 9 тестов - 9 упражнений | На этом курсе вы изучите анализ данных с помощью библиотеки Pandas. Вы узнаете много нового о порядке работы с данными в Python, научитесь фильтровать данные, обрабатывать строк...",13 часов,3900 ₽,"['Python', 'Веб-разработка']"
https://ru.hexlet.io//courses/python-numpy,Курс Python: Numpy-массивы - онлайн обучение программированию на Python на Хекслете,"Python: Numpy-массивы: 10 уроков - 8 тестов - 8 упражнений | На этом курсе вы познакомитесь с Numpy — библиотекой, которая помогает быстро обрабатывать и анализировать информацию. Numpy помогает ускорить операции над числовыми и строковым...",12 часов,3900 ₽,['Python']
https://ru.hexlet.io//courses/jupyter-notebook,Курс Jupyter Notebook - онлайн обучение программированию на Python на Хекслете,Jupyter Notebook: 8 уроков - 7 тестов - 4 упражнения | На этом курсе вы познакомитесь со средой разработки Jupyter Notebook. Вы узнаете преимущества данной среды для аналитиков данных. В итоге научитеь строить решения с разбиением л...,7 часов,3900 ₽,['Python']
https://ru.hexlet.io//courses/python-data-visualization,Курс Python: Визуализация данных - онлайн обучение программированию на Python на Хекслете,"Python: Визуализация данных: 8 уроков - 7 тестов - 7 упражнений | На этом курсе вы познакомитесь с визуализацией данных с помощью языка Python. Вы узнаете, как Python помогает строить графики и анализировать данные на их основе. В итоге вы изу...",10 часов,3900 ₽,['Python']
https://ru.hexlet.io//courses/python-anaconda,Курс Python: Anaconda - онлайн обучение программированию на Python на Хекслете,"Python: Anaconda: 8 уроков - 7 тестов | В этом курсе вы познакомитесь с инструментарием Anaconda. Вы поймете, в чем преимущество его использования для решения аналитических задач. В итоге научитесь создавать виртуальн...",3 часа,3900 ₽,['Python']
https://ru.hexlet.io//courses/sql-join,Курс SQL: Join - онлайн обучение языку запросов SQL на Хекслете,"SQL: Join: 16 уроков - 14 тестов - 14 упражнений | На этом курсе вы изучите различные способы соединения нескольких таблиц, обобщенные табличные выражения и представления. Вы узнаете больше про работу с несколькими таблицами и п...",19 часов,3900 ₽,"['SQL', 'Веб-разработка']"
https://ru.hexlet.io//courses/sql-analytics,Курс Основы аналитики на SQL - онлайн обучение языку запросов SQL на Хекслете,"Основы аналитики на SQL: 10 уроков - 9 тестов - 9 упражнений | На этом курсе вы научитесь применять язык SQL для решения аналитических задач. Вы узнаете о агрегатных функциях, фильтрации и группировке данных. В итоге вы научитесь объединять...",12 часов,3900 ₽,['SQL']
https://ru.hexlet.io//courses/window-functions,Курс SQL: Оконные функции - онлайн обучение программированию на Хекслете,"SQL: Оконные функции: 9 уроков - 8 тестов - 8 упражнений | На этом курсе вы научитесь использовать оконные функции SQL в своих запросах. Вы узнаете больше о функциях row_number(), prev_value(), познакомитесь с оконными версиями функций ...",11 часов,3900 ₽,['SQL']
https://ru.hexlet.io//courses/rdb-basics,Курс Основы реляционных баз данных - онлайн обучение языку запросов SQL на Хекслете,"Основы реляционных баз данных: 24 урока - 21 тест - 19 упражнений | Курс «Основы реляционных баз данных (РБД)» для начинающих. Освойте основы программирования и разработки реляционных баз данных (РБД) с нуля: создание полноценных баз, правильное построение архитектуры, создание и выполнение запросов",27 часов,3900 ₽,"['SQL', 'Тестирование']"
https://ru.hexlet.io//courses/sql-set-operations,Курс Множественные операции в SQL - онлайн обучение языку запросов SQL на Хекслете,"Множественные операции в SQL: 5 уроков - 4 теста - 4 упражнения | Курс предназначен для тех, кто уже знаком с основами SQL и хочет расширить свои навыки работы с данными. Вы научитесь использовать операции объединения таблиц, такие как UNION, ...",6 часов,3900 ₽,['SQL']
https://ru.hexlet.io//courses/java-testing,Курс Java: Автоматическое тестирование - онлайн обучение программированию на Java на Хекслете,Java: Автоматическое тестирование: 12 уроков - 11 тестов - 10 упражнений | На этом курсе вы изучите автоматическое тестирование — неотъемлемую часть программирования. Вы познакомитесь с принципами создания эффективных тестов и современными инструментам...,14 часов,3900 ₽,"['Java', 'Тестирование']"
https://ru.hexlet.io//courses/java-web,Курс Java: Веб-технологии - онлайн обучение программированию на Java на Хекслете,"Java: Веб-технологии: 22 урока - 20 тестов | На этом курсе вы изучите веб-технологии в языке Java. Вы узнаете больше об особенностях клиент-серверной модели, принципах роутинга HTTP-запросов и формирования ответов с помощь...",71 час,3900 ₽,"['Java', 'Веб-разработка']"
https://ru.hexlet.io//courses/java-basics,Курс Основы Java - онлайн обучение программированию на Java на Хекслете,"Основы Java: 29 уроков - 28 тестов - 28 упражнений | Курс «Основы Java» для начинающих. Освойте основы программирования на Java с нуля: создание простых программ, использование основных конструкций языка, анализ ошибок",37 часов,3900 ₽,['Java']
https://ru.hexlet.io//courses/java-oop,Курс Java: Основы ООП - онлайн обучение программированию на Java на Хекслете,"Java: Основы ООП: 10 уроков | На этом курсе вы глубже изучите основы объектно-ориентированного программирования. Вы узнаете больше о полиморфизме и наследовании. Вы познакомитесь с аннотациями, исключениями ...",35 часов,3900 ₽,['Java']
https://ru.hexlet.io//courses/java-oop-basics,Курс Java: Введение в ООП - онлайн обучение программированию на Java на Хекслете,"Java: Введение в ООП: 11 уроков - 10 тестов - 10 упражнений | На этом курсе вы изучите основы объектно-ориентированного программирования. Вы познакомитесь с классами, объектами и методами — этими понятиями оперирует любая Java-программа. З...",14 часов,3900 ₽,['Java']
https://ru.hexlet.io//courses/go-web-development,Курс Веб-разработка на Go - онлайн обучение программированию на Go на Хекслете,"Веб-разработка на Go: 13 уроков - 12 тестов - 12 упражнений | На этом курсе вы изучите основы веб-разработки на Go. Вы узнаете, как обрабатывать запросы и формировать ответ, как работать сессиями, обрабатывать ошибки, что такое CRUD и как ...",16 часов,3900 ₽,"['Golang', 'Веб-разработка']"
https://ru.hexlet.io//courses/go-basics,Курс Основы Go - онлайн обучение программированию на Go на Хекслете,"Основы Go: 34 урока - 32 теста - 32 упражнения | На этом курсе вы изучите основы языка Go. Вы познакомитесь с простыми типами данных, условиями и циклами в Go и узнаете, как объявлять собственные функции и использовать встроен...",43 часа,3900 ₽,['Golang']
